model,quant,mode,problem_id,run_id,duration_s,tokens,success,tool_calls,context_len,inter_token_avg_ms,inter_token_p95_ms,ttft_ms,energy_joules,energy_per_token_j,tps
deepseek-r1-distill-qwen-1.5b,F16,tool_submission,58,4,2.112037,26,False,1,520,,,,,,12.310390395622804
deepseek-r1-distill-qwen-1.5b,F16,tool_submission,59,1,3.311256,60,False,1,459,,,,,,18.120012466568575
deepseek-r1-distill-qwen-1.5b,F16,tool_submission,55,4,1.696438,12,False,1,448,,,,,,7.073644895952579
deepseek-r1-distill-qwen-1.5b,F16,tool_submission,59,0,4.857075,99,False,1,459,,,,,,20.382637698614907
deepseek-r1-distill-qwen-1.5b,F16,tool_submission,57,3,1.417965,11,False,1,530,,,,,,7.757596273532845
deepseek-r1-distill-qwen-1.5b,F16,tool_submission,59,3,370.798244,2048,False,0,459,20.030466506049482,70.34521102905272,0.010013580322265625,434.95528329243473,0.21227685861026585,5.523219252354388
deepseek-r1-distill-qwen-1.5b,F16,tool_submission,57,0,7.846666,182,False,1,530,,,,,,23.19456441755008
deepseek-r1-distill-qwen-1.5b,F16,tool_submission,56,4,1.669217,13,False,1,481,,,,,,7.788082675889354
deepseek-r1-distill-qwen-1.5b,F16,tool_submission,57,1,1.634438,12,False,1,530,,,,,,7.341973204245129
deepseek-r1-distill-qwen-1.5b,F16,tool_submission,59,2,2.298827,33,False,1,459,,,,,,14.355147212034659
deepseek-r1-distill-qwen-1.5b,F16,tool_submission,55,0,6.04287,136,False,1,448,,,,,,22.50586228067127
deepseek-r1-distill-qwen-1.5b,F16,tool_submission,58,0,5.73186,130,False,1,520,,,,,,22.68024690065703
deepseek-r1-distill-qwen-1.5b,F16,tool_submission,56,3,1.262506,7,False,1,481,,,,,,5.544528105212966
deepseek-r1-distill-qwen-1.5b,F16,tool_submission,56,2,1.550761,11,False,1,481,,,,,,7.093291616180701
deepseek-r1-distill-qwen-1.5b,F16,tool_submission,58,1,2.279546,33,False,1,520,,,,,,14.476566825148517
deepseek-r1-distill-qwen-1.5b,F16,tool_submission,59,4,2.074518,27,False,1,459,,,,,,13.015071452742276
deepseek-r1-distill-qwen-1.5b,F16,tool_submission,55,1,454.143052,2048,False,2,448,20.9756509567715,73.9086627960205,0.011682510375976562,484.0312036289997,0.23622801543631025,4.509592277104792
gemma-3n-e2b-it,Q4_K_M,base,13,4,143.439448,100,False,0,947,1388.202435899489,2863.1162643432617,0.010013580322265625,1842.0682221041645,18.238299228754105,0.6971582880045663
gemma-3n-e2b-it,Q4_K_M,base,12,0,325.465718,234,True,0,502,1371.359718606827,2697.9123592376704,0.010967254638671875,7029.05982137881,29.910892856931106,0.718969731859747
gemma-3n-e2b-it,Q4_K_M,base,13,2,156.222597,100,False,0,947,1509.6914555766796,2881.7882537841797,0.017881393432617188,2430.16806848607,24.061069985010594,0.6401122623764858
gemma-3n-e2b-it,Q4_K_M,base,13,3,141.999354,100,False,0,947,1371.7630782929978,2771.512746810913,0.010967254638671875,2870.07063778841,28.416540968202078,0.7042285558566695
gemma-3n-e2b-it,Q4_K_M,base,10,0,151.343379,101,True,0,445,1456.6865294587378,3113.8344287872314,0.014781951904296875,3399.7457788574698,33.33084096919088,0.667356581221832
gemma-3n-e2b-it,Q4_K_M,base,13,0,143.245467,102,False,0,947,1354.4807966473034,2765.246796607971,0.008821487426757812,3436.6285164804763,33.36532540272307,0.7120644173682649
gemma-3n-e2b-it,Q4_K_M,base,13,1,139.136397,102,False,0,947,1317.2667790385126,2746.3075160980225,0.009059906005859375,2539.0462984510623,24.650934936418082,0.7330935844198985
gemma-3n-e2b-it,Q4_K_M,base,11,0,286.438703,200,True,0,358,1410.0805028754087,2769.0088748931885,0.019073486328125,7536.803869673013,37.49653666503986,0.6982296662612665
gemma-3n-e2b-it,Q4_K_M,base,14,0,147.164406,109,True,0,306,1313.6853456497192,2663.4239315986633,0.010013580322265625,2978.025713832297,27.07296103483906,0.7406682292455962
gemma-3n-e2b-it,F16,base,39,1,6.704272,178,False,0,422,32.585954666137695,48.81938695907592,0.008821487426757812,65.63587507271767,0.36464375040398705,26.550235431975317
gemma-3n-e2b-it,F16,base,35,4,4.849938,83,False,0,288,45.915464560190834,81.81587457656839,0.009059906005859375,49.06119600200653,0.5840618571667444,17.113620833915814
gemma-3n-e2b-it,F16,base,39,0,8.812127,247,False,0,422,31.293000562123986,90.2073860168457,0.009059906005859375,123.86366975688935,0.4974444568549773,28.02955518003769
gemma-3n-e2b-it,F16,base,35,2,4.87748,83,False,0,288,45.96118983768282,96.59302234649627,0.008106231689453125,46.83602278900146,0.557571699869065,17.01698418035543
gemma-3n-e2b-it,F16,base,36,1,8.761907,246,False,0,337,31.83440447818895,94.24791336059567,0.008821487426757812,117.68440870475769,0.47645509597067887,28.076079784914402
gemma-3n-e2b-it,F16,base,36,0,8.721733,246,False,0,337,31.45619842313951,50.31987428665159,0.010013580322265625,89.135489259243,0.3594172954001734,28.205403673788226
gemma-3n-e2b-it,F16,base,35,3,4.755502,83,False,0,288,45.92871382122948,95.93892097473113,0.009059906005859375,12.273557128429413,0.14611377533844538,17.453467583443345
gemma-3n-e2b-it,F16,base,35,0,4.953525,87,False,0,288,43.8821017742157,51.99917554855342,0.01811981201171875,35.00643727231026,0.3978004235489802,17.563250412584978
gemma-3n-e2b-it,F16,base,36,3,6.737006,188,False,0,337,30.963554584160054,49.00908470153808,0.009059906005859375,37.98148956012726,0.20096026222289554,27.905571109777846
gemma-3n-e2b-it,F16,base,38,0,10.748823,294,True,0,355,33.18976628578315,92.85416603088382,0.008106231689453125,67.175450622797,0.22771339194168475,27.351831916852664
