model,quantization,mode,attempts,successes,problems,avg_samples_per_problem,median_samples_per_problem,per_attempt_pass_rate,per_attempt_pass_rate_low,per_attempt_pass_rate_high,pass@1,pass@1_low,pass@1_high,pass@3,pass@3_low,pass@3_high,pass@5,pass@5_low,pass@5_high,pass@10,pass@10_low,pass@10_high,duration_mean_s,duration_median_s,duration_p95_s,ttft_mean_ms,ttft_median_ms,ttft_p95_ms,tokens_mean,tps_mean,overall_tps_mean,tool_calls_mean,tool_calls_median,tool_latency_mean_ms,tool_latency_total_ms,energy_mean_j,energy_median_j,energy_total_j,thinking_ratio_mean,thinking_tokens_mean
llama-3.2-3b-instruct,Q4_K_M,base,2416,322,500,4.832,2.0,0.13327814569536423,0.12030585023711694,0.14741481379312368,0.5056396825396825,0.46826428571428563,0.5449952380952379,0.5989190476190477,0.5608095238095239,0.6369595238095238,0.630031746031746,0.5912857142857143,0.6695952380952379,0.644,0.604,0.686,2.2470092868377485,2.0615515,2.0695252500000003,12.976246953800025,12.636184692382812,15.735626220703123,53.88948675496689,121.30262207477696,25.770835325451774,0.9962748344370861,1.0,1632.834676691839,1632.834676691839,2.2901008933239817,2.238995462656021,5532.88375827074,0.0,0.0
llama-3.2-3b-instruct,Q4_K_M,tool_submission,2381,332,500,4.762,2.0,0.13943721125577488,0.12610294490118773,0.15393309606690006,0.5110349206349206,0.472930952380952,0.5530484126984125,0.6111047619047619,0.5700880952380952,0.6546809523809524,0.6433412698412698,0.6023015873015872,0.6864682539682538,0.664,0.622,0.708,2.5250097841243173,2.062063,4.061993,13.036719894569394,12.39776611328125,16.689300537109375,135.00461990760184,123.83117945331098,56.56477280576639,0.9353212935741285,1.0,1405.2908349003094,1405.2908349003094,4.305360530610346,2.2417025923728944,10251.063423383235,0.0,0.0
llama-3.2-3b-instruct,Q4_K_M,full_tool,2649,306,500,5.298,3.0,0.11551528878822197,0.10389563879303682,0.128248489224256,0.42416269841269844,0.3869436507936508,0.4621301587301587,0.5604880952380952,0.5192166666666667,0.6037976190476192,0.5914801587301588,0.5516746031746032,0.6359444444444444,0.612,0.572,0.656,5.167232852774632,4.064845,10.151101,13.642150890426665,13.113021850585938,15.497207641601562,218.7440543601359,119.17341158661736,57.90924961360422,1.6685541713854284,1.0,1090.3664880393478,1090.3664880393478,8.34793287092625,2.246842646598816,22113.674175083637,0.0,0.0
llama-3.2-3b-instruct,F16,base,2485,317,500,4.97,2.0,0.12756539235412476,0.11502104693730264,0.14125946524957175,0.5006722222222222,0.46217698412698394,0.5399960317460317,0.5850166666666666,0.5453166666666664,0.6241976190476192,0.6101944444444445,0.5685515873015874,0.6502182539682538,0.634,0.59,0.676,2.361704441448692,2.061306,2.0701112,12.978029922700264,12.636184692382812,15.735626220703123,52.40402414486922,96.78581245722005,24.027502261783084,0.9879275653923542,1.0,1559.644097854552,1559.644097854552,2.5632927657037197,2.219502878189086,6369.782522773743,0.0,0.0
llama-3.2-3b-instruct,F16,tool_submission,2470,322,500,4.94,2.0,0.13036437246963561,0.1176575746038984,0.1442191761144984,0.4850103174603174,0.4475317460317459,0.5237984126984125,0.5910309523809524,0.5515238095238095,0.6323333333333334,0.623718253968254,0.5820793650793652,0.6663809523809524,0.644,0.6,0.684,2.710444907692308,2.061829,4.06296215,13.041978905558103,12.636184692382812,16.582012176513608,105.13117408906882,96.16168621090775,40.938074701997266,0.882995951417004,1.0,1454.1894315629029,1454.1894315629029,5.24499342668877,2.2360636711120607,12955.133763921262,0.0,0.0
llama-3.2-3b-instruct,F16,full_tool,2685,305,500,5.37,4.0,0.11359404096834265,0.10213931071694456,0.12615290255437644,0.41280555555555554,0.37795793650793663,0.45141269841269843,0.5544166666666667,0.5157238095238094,0.5967523809523808,0.5891944444444445,0.5502539682539683,0.6310952380952382,0.61,0.568,0.652,6.304643611545623,4.083886,14.0687596,13.49919779118657,13.113021850585938,16.927719116210938,212.90055865921786,91.60173972674562,44.231945169121275,1.893854748603352,1.0,1192.0181277931301,1192.0181277931301,13.759748764819495,2.28999525308609,36944.925433540346,0.0,0.0
gemma-3n-e2b-it,Q4_K_M,base,2305,323,500,4.61,1.0,0.14013015184381777,0.12655699196370787,0.1549008611865472,0.5582238095238096,0.519134126984127,0.5995499999999999,0.6156714285714285,0.5738142857142856,0.6549166666666667,0.634452380952381,0.5923571428571427,0.6748015873015872,0.646,0.602,0.686,4.180956869414317,4.059318,6.0627084,13.36085305038088,12.874603271484377,18.5489654541015,163.40390455531454,54.23968655782947,43.40350166604688,0.7097613882863341,1.0,1301.7756186953966,1301.7756186953966,21.017938081602725,23.85170595645905,48446.34727809428,0.0,0.0
gemma-3n-e2b-it,Q4_K_M,tool_submission,2146,340,500,4.292,1.0,0.15843429636533085,0.14359705848814142,0.17449223702088587,0.5916269841269841,0.5504936507936506,0.6324103174603177,0.6508809523809523,0.6115571428571428,0.690404761904762,0.6691349206349207,0.6306349206349208,0.7099007936507936,0.68,0.642,0.722,4.250301959925443,4.0603180000000005,6.0634815,13.621411141344907,13.113021850585938,20.02716064453125,158.60251630941286,53.95651230699305,42.94398687570829,0.9888164026095061,1.0,1287.4249617523265,1288.0890645612571,20.02097199420338,23.844108861684802,42965.00589956045,0.0,0.0
gemma-3n-e2b-it,Q4_K_M,full_tool,2239,268,450,4.975555555555555,2.0,0.11969629298794104,0.10689765574457652,0.1337977192654108,0.5104867724867724,0.46658730158730155,0.5526746031746033,0.5759047619047619,0.5328571428571428,0.6208968253968253,0.5881746031746032,0.5449470899470901,0.6331084656084657,0.5955555555555555,0.5511111111111111,0.64,4.69565384457347,4.115573,12.067565,14.234493757369743,13.828277587890623,18.405914306640582,159.56230460026796,55.70684208046669,39.32482175977876,2.753461366681554,3.0,1288.0413011733087,1288.0413011733087,19.92607226143356,23.408670234680173,44614.475793349746,0.0,0.0
gemma-3n-e2b-it,F16,base,2207,330,500,4.414,1.0,0.1495242410512007,0.13525579505916016,0.16501067360146204,0.5873460317460317,0.5446857142857144,0.6282666666666666,0.6350380952380953,0.5935142857142858,0.6753309523809523,0.6487301587301588,0.607654761904762,0.6884523809523809,0.66,0.62,0.698,3.9445230158586315,4.058982,6.0632019,13.801823820417479,13.3514404296875,19.550323486328125,161.5151789759855,58.398809577255236,46.345808602187276,0.7027639329406434,1.0,1235.412853917768,1236.0532426834106,17.702979647027565,23.225024342536926,39070.476080989836,0.0,0.0
gemma-3n-e2b-it,F16,tool_submission,2143,336,500,4.286,1.0,0.1567895473635091,0.14201050783858718,0.1727968817704087,0.6007404761904762,0.5602317460317461,0.6411603174603175,0.6482214285714285,0.6100333333333333,0.6876666666666666,0.6622023809523809,0.6230079365079364,0.701734126984127,0.672,0.632,0.712,3.7068982701819877,4.060301,6.063295500000001,13.825718732398634,13.3514404296875,19.073486328125,155.22865142323846,58.11862327216647,45.96604187102141,0.9916005599626692,1.0,1249.5990535418193,1249.5990535418193,16.77062211627444,23.154196882247923,35939.44319517612,0.0,0.0
