job_id,models,quantizations,modes,total_problems,passed_problems,pass_rate,total_duration_seconds,energy_joules,gpu_util_avg,gpu_util_max,gpu_mem_util_avg,gpu_mem_util_max,gpu_mem_used_avg_mib,gpu_mem_used_max_mib,gpu_power_avg_w,gpu_power_max_w,gpu_temperature_avg_c,gpu_samples,cpu_util_avg_percent,cpu_util_max_percent,cpu_samples,cpu_mem_avg_percent,cpu_mem_max_percent
5144296,qwen-3-0.6b,F16,"base,full_tool,tool_submission",1643,160,0.09738283627510651,37844.948088,407924.683454609,42.08934583934584,62.0,12.641053391053392,16.0,3795.223905723906,3806.0,125.68292328042328,152.85,44.93807118807119,8316,1.111104020421187,4.7,7835,3.8789534141671984,6.0
5144297,llama-3.2-3b-instruct,Q4_K_M,"base,full_tool,tool_submission",1732,170,0.09815242494226328,5274.9546740000005,54115.52920717002,26.448658649398705,73.0,10.31822386679001,26.0,4471.335800185014,4548.0,133.36144310823312,258.0,48.48658649398705,1081,0.5702941176470588,1.0,1020,4.109803921568627,4.5
5144298,llama-3.2-3b-instruct,F16,"base,full_tool,tool_submission",1721,171,0.09936083672283556,5949.76779,62052.181194674966,35.63954434499593,78.0,27.890968266883647,59.0,8533.978844589097,8752.0,153.4006265256306,249.52,48.36045565500407,1229,0.9132010353753236,5.4,1159,2.032528041415013,3.9
5144299,gemma-3n-e2b-it,Q4_K_M,"base,full_tool,tool_submission",1463,178,0.12166780587833219,5813.10588,63593.50844129324,48.56739305891848,99.0,5.598870056497175,19.0,3088.219531880549,3144.0,110.65235673930589,140.33,45.49717514124294,1239,0.8133676092544987,2.7,1167,12.94070265638389,15.3
5144300,gemma-3n-e2b-it,F16,"base,full_tool,tool_submission",1511,185,0.12243547319655856,5655.126874,58920.67582191231,46.20305862361937,77.0,17.2803738317757,27.0,9793.765505522515,10082.0,127.18948173322005,172.29,45.59558198810535,1177,0.8893693693693694,5.3,1110,2.0350450450450452,3.9
5144301,deepseek-r1-distill-qwen-1.5b,Q4_K_M,"base,full_tool",1067,119,0.11152764761012184,29578.446478000005,309760.4414387703,43.177083333333336,87.0,9.705399061032864,15.0,2296.5531103286385,2304.0,131.22577464788733,264.9,45.598151408450704,6816,0.8719794744207744,1.5,6431,4.295537241486549,4.8
5144302,deepseek-r1-distill-qwen-1.5b,F16,"base,full_tool",1047,119,0.11365807067812798,36791.323424,402175.4672602893,51.44872554831061,84.0,24.038055720213396,32.0,4295.393953764078,4310.0,156.10890219324244,322.5,46.35542382928275,8435,1.5308214869794943,13.4,7949,6.595521449238898,11.3
5144303,qwen-3-4b,Q4_K_M,"base,full_tool,tool_submission",300,115,0.38333333333333336,7145.317062,77283.82898489236,56.28493150684932,87.0,19.903424657534245,24.0,5492.797260273973,5578.0,163.62320547945205,195.18,46.574657534246576,1460,0.9211062590975255,3.8,1374,2.7195778748180497,3.5
5144304,qwen-3-4b,F16,"base,full_tool,tool_submission",1200,191,0.15916666666666668,40700.82928499999,443340.39186773304,66.53968418865573,100.0,48.26158321213381,56.0,10815.514232287554,10870.0,212.31477249116975,249.02,50.241948888427174,9626,1.3111466020486837,5.7,9079,15.315552373609428,21.9
5144305,qwen-3-0.6b,Q4_K_M,"base,full_tool,tool_submission",1773,160,0.09024252679075014,39466.096538000005,419796.75316336146,40.298635674583124,59.0,5.677993936331481,7.0,3037.470692268823,3046.0,105.79444795351188,124.4,42.820742799393635,7916,1.0833980972799142,4.0,7463,2.0674929652954575,5.4
5144306,qwen-3-0.6b,F16,"base,full_tool,tool_submission",1738,165,0.0949367088607595,40033.910848,425862.4007218003,42.04372197309417,63.0,12.63129048330842,17.0,3797.130792227205,3806.0,124.38167289486796,149.34,44.271549576482315,8028,1.0838419870524507,4.1,7569,2.0682652926410356,5.3
5144307,llama-3.2-3b-instruct,Q4_K_M,"base,full_tool,tool_submission",1361,199,0.1462160176340926,4312.230245,46082.79374895095,25.06179775280899,70.0,9.769662921348315,28.0,4466.008988764045,4550.0,124.07542696629214,265.73,44.39213483146067,890,0.9733890214797136,2.6,838,2.5196897374701672,2.8
5144308,llama-3.2-3b-instruct,F16,"base,full_tool,tool_submission",1379,200,0.145032632342277,5146.251497,53984.75704385042,34.097105508870214,89.0,26.33893557422969,59.0,8498.767507002802,8750.0,135.35666666666665,234.4,45.871148459383754,1071,0.454265873015873,4.7,1008,2.9412698412698415,8.6
5144309,gemma-3n-e2b-it,Q4_K_M,"base,full_tool,tool_submission",1389,191,0.1375089992800576,5496.623543000001,56733.23187003136,48.24046140195208,76.0,5.571428571428571,10.0,3084.271517302573,3142.0,100.25423247559894,227.77,43.890860692102926,1127,0.6020715630885123,4.4,1062,1.7066854990583804,2.3
5144310,gemma-3n-e2b-it,F16,"base,full_tool,tool_submission",1321,193,0.1461014383043149,5237.833127,55004.8325995326,47.17032967032967,100.0,17.49175824175824,27.0,9777.739926739927,10082.0,125.18923076923078,235.43,45.0467032967033,1092,1.0234207968901847,3.5,1029,2.4663751214771623,3.3
5144311,deepseek-r1-distill-qwen-1.5b,Q4_K_M,"base,full_tool",995,124,0.12462311557788945,28026.720521999996,299208.21112641087,43.23240086074393,91.0,9.6623117122656,15.0,2297.665539501998,2306.0,126.3730494927759,255.71,43.90839225330464,6506,1.088086701434159,10.1,6136,8.499152542372881,20.6
5144312,deepseek-r1-distill-qwen-1.5b,F16,"base,full_tool",960,125,0.13020833333333334,30560.740498999996,328953.3823539257,52.46236715679138,83.0,24.614499927209202,32.0,4294.381132624836,4310.0,160.77536177027224,345.54,47.50531372834474,6869,1.2961289327575571,15.6,6484,8.208374460209747,16.3
5144313,qwen-3-4b,Q4_K_M,"base,full_tool,tool_submission",300,176,0.5866666666666667,6549.802461,69316.1813724637,56.12089552238806,77.0,19.926865671641792,27.0,5489.394029850746,5578.0,167.4073208955224,199.6,49.16044776119403,1340,1.1866403162055335,5.4,1265,2.999288537549407,3.0
5144314,qwen-3-4b,F16,"base,full_tool,tool_submission",991,215,0.21695257315842584,33093.22596599999,355142.80130783306,66.08953015168332,100.0,47.98692810457516,57.0,10803.907016894807,10870.0,210.61060673325935,249.28,51.55197928227895,8109,1.2286498496928506,4.9,7651,8.19188341393282,16.1
5144315,qwen-3-0.6b,Q4_K_M,"base,full_tool,tool_submission",1753,167,0.09526525955504848,34573.296422,359051.23821630486,39.59097462514418,60.0,5.672001153402538,11.0,3035.0547866205306,3044.0,95.11524942329874,120.1,40.515859284890425,6936,0.6715224701926017,4.9,6542,3.703347600122287,7.7
5144316,qwen-3-0.6b,F16,"base,full_tool,tool_submission",1567,180,0.1148691767708998,31597.470769,405151.6280302168,41.847099621689786,62.0,12.656052963430012,20.0,3795.3918663303907,3806.0,120.19030895334174,145.94,45.01923076923077,6344,5.084818592208661,8.4,5981,4.487777963551245,4.8
