model,quantization,mode,job_ids,total_problems,passed_problems,pass_rate,total_duration_seconds,energy_joules,avg_power_watts,max_power_watts,min_power_watts,cpu_avg_percent,cpu_max_percent,memory_avg_percent,memory_max_percent,inter_token_avg_ms,inter_token_p95_ms,context_avg_tokens,context_max_tokens,warm_start_avg_s,warm_start_count,overall_pass_at_1,overall_pass_at_10,overall_pass_at_3,overall_pass_at_5
llama-3.2-3b-instruct,Q4_K_M,tool_submission,"5144267,5144277,5144287,5144297,5144307",2381,332,0.13943721125577488,120.30881126000003,63674.08094791173,10.652289076827246,15.15,10.0,1.3045781536544878,10.3,4.526205987307935,5.8,17.857647212265537,15.218424797058105,420.53758924821506,4419,2.5250097841243173,2381,0.4581117210989113,0.039227215455690884,0.18062681603510786,0.15243225691041737
qwen-3-0.6b,F16,base,"5144276,5144286,5144296,5144306,5144316",2837,272,0.09587592527317589,850.2170286200002,472396.5712417007,11.123530252404306,16.2,10.0,2.2470605048085925,12.4,5.380867463485697,8.5,8.59615155704728,9.873390197753906,490.10398308071905,4494,14.982956265421215,2837,0.37267064750938556,0.01579468586870772,0.12198310589657084,0.06938919381640567
qwen-3-0.6b,F16,full_tool,"5144276,5144286,5144296,5144306,5144316",2437,288,0.11817808781288469,1957.8026539361704,1021533.4405187488,11.105532628582038,22.35,10.2,2.211065257163995,24.7,5.2124432896256065,8.5,8.58441911289955,9.94274616241455,1433.5395978662289,5981,37.756697960196966,2437,0.4080680937400265,0.0104636848584325,0.19478863389152676,0.11300914372496822
qwen-3-0.6b,F16,tool_submission,"5144276,5144286,5144296,5144306,5144316",2967,269,0.0906639703404112,872.19099042,484408.79038248083,11.119095474790374,19.85,10.15,2.2381909495807313,19.7,5.310443879124581,8.6,8.621882643983003,10.046005249023438,604.0896528479946,4611,14.696677654870236,2967,0.3358895201716234,0.017323896191439165,0.18849645705939944,0.09525914648774039
qwen-3-0.6b,Q4_K_M,base,"5144275,5144285,5144295,5144305,5144315",3007,263,0.08746258729630861,835.49623286,447980.2255469442,10.734655499488444,21.05,10.0,1.4693109989768758,22.1,4.751167420679897,24.9,7.788291486580968,9.746551513671875,482.82407715330896,4494,13.891029545394074,3007,0.32238451549558966,0.030929418658051842,0.13687471155738648,0.0929947443325949
qwen-3-0.6b,Q4_K_M,full_tool,"5144275,5144285,5144295,5144305,5144315",2657,278,0.10462928114414753,2134.429388541667,1098417.388794696,10.731447192848083,23.900000000000002,10.0,1.4628943856961265,27.8,4.72943112867061,30.3,7.793199253882856,9.850502014160156,1499.2171622130222,6102,38.55801888182159,2657,0.3742158628600105,0.00910801656003011,0.18120142788014718,0.11812157666353457
qwen-3-0.6b,Q4_K_M,tool_submission,"5144275,5144285,5144295,5144305,5144315",3205,242,0.07550702028081123,858.9856314000001,459982.3458041668,10.719608007699495,22.0,10.0,1.4392160153989801,24.0,4.731081941515964,16.0,7.7967836859112944,9.663736820220947,600.9519500780032,4611,13.399235815600624,3205,0.29505603843201345,0.018884926825644452,0.16130405474722392,0.10914648564400627
qwen-3-4b,F16,base,"5144274,5144284,5144294,5144304,5144314",2659,293,0.11019180142910869,1428.6939233000003,770692.2751755477,10.794626118702615,20.7,10.2,1.589252237405139,21.4,10.506404480342805,24.0,13.750294581278316,15.653133392333984,490.2162467092892,4494,26.86372882512223,2659,0.4051010345218694,0.009289206468597218,0.1745167132291051,0.08534122833873009
qwen-3-4b,F16,full_tool,"5144274,5144284,5144294,5144304,5144314",891,313,0.35129068462401797,1815.9837164444446,709012.1518551226,10.84622383478051,20.45,10.0,1.692447669560953,20.9,11.799624814319504,24.5,13.81103409091604,15.548944473266602,1531.0751964085298,5593,73.37159237037038,891,0.7637387098498212,0.0,0.17989952434396878,0.12601878574100794
qwen-3-4b,F16,tool_submission,"5144274,5144284,5144294,5144304,5144314",2103,346,0.16452686638135997,1060.3643729600005,572535.9215869905,10.807565223625838,22.35,10.2,1.6151304472515997,24.7,10.701784308526184,24.3,13.745772917724597,15.63875675201416,615.1787922016167,4611,25.209258717546355,2103,0.5230645185638055,0.005325725154541132,0.17260904678879002,0.1046541914171491
qwen-3-4b,Q4_K_M,base,"5144273,5144283,5144293,5144303,5144313",500,153,0.306,189.41590881999997,101491.88875111342,10.736638059401052,13.85,10.2,1.4732761188021017,7.7,4.5987451549662515,6.3,10.740608781029792,12.47096061706543,472.052,4494,18.940113244,500,0.306,,,
qwen-3-4b,Q4_K_M,full_tool,"5144273,5144283,5144293,5144303,5144313",500,305,0.61,370.54390018,199087.7047897696,10.75742592935672,16.35,10.2,1.5148518587134623,12.7,4.653807191524194,6.9,10.765475581067466,12.32004165649414,1301.858,5595,37.052952831999995,500,0.61,,,
qwen-3-4b,Q4_K_M,tool_submission,"5144273,5144283,5144293,5144303,5144313",500,251,0.502,159.84202888000002,85698.16707047222,10.749615674314356,13.5,10.1,1.4992313486286943,7.0,4.630987854196827,6.4,10.750842144508448,12.520074844360352,589.052,4611,15.982705732000003,500,0.502,,,
